num|nb_reactions|nb_commentaires|text_post
197|0|0|Entièrement d’accord. Sauf que la France n’est pas la bonne échelle
198|1|0|j’attends le même type d’analyse pour les milliers de porte-conteneurs qui nous ramènent nos cochonneries de l’autre bout du monde.
199|0|0|Rouler en vélo, supprimer les avions, les tracteurs, les voitures, voiler les femmes, c'est 1789 ???
200|5|1|Tout à fait d'accord 
201|0|0|Tout à fait d'accord 
202|0|0|Tout à fait d'accord, le plus dingue est qu'il soit encore nécessaire de l'expliquer
203|4|0|Et pendant ce temps là, en Inde, en Chine, en Afrique, aux États-Unis, etc… ils poluent à tout va sans scrupule et sans rien faire pour améliorer la situation !!!
204|0|0|il ne faut rien interdire.. il faut juste limiter le budget CO2/an par personne dans la loi. 10t/an pour commencer en baisse chaque année. Apres chacun le dépense librement. 
205|1|0|« Si 1% des passagers dans le monde représentent 50% des émissions de l'aérien, les jets y sont pour quelque chose. »Connaît-on justement la part que représentent les jets privés dans le total de ces émissions?Parce que si le débat c’est de savoir si les jets privés polluent « trop » unitairement parlant, je pense qu’on peut tous tomber assez rapidement d’accord.Par contre en fonction du % que ça représente, savoir si c’est là-dessus que nos députés doivent en priorité passer le temps limité qui est à leur disposition, sachant l’énorme quantité de travail que nécessitera de faire bouger les lignes sur le maillage aérien, sur les politiques de voyages d’affaires etc … là je suis tout de suite beaucoup plus partagé.
206|0|0|Liberté vs Égalité + Fraternité. Qui aurait pu le prevoir?
207|0|0|D'autant que si c'est pour le travail le business on peut très bien tout régler par visio conférence.. ça pollue peut-être aussi un peu mais de manière négligeable par rapport au vol. 
208|0|0|S'il est vrai qu'au sein de l'évidence il y a le vide comme dirait Jaime Semprun, c'est que ce vide est l'espace qu'il faut combler par du bon sens afin que de l'évidence naisse une action. Et, ce bon sens atteint aujourd'hui les sphères les plus nanties, celle des gagnants de la méritocratie, dans une société qui ne tient nullement compte de l'effort produit par les perdants de la compétitivité. Et le changement apparaît de manière inattendue. Gare à ceux qui privilégient le paradis fiscal à l'adaptation au changement de paradigme économique, l'histoire nous rappelle combien la plèbe est cruelle lorsqu'il s'agit de s'attaquer aux biens mal acquis du dernier bastion. (pour la biographie de Bruno Colmant voyez: )
209|0|1|Quant l’oie sera manger La misere sera rassasiée
210|0|0|Quant l’oie sera manger La misere sera rassasiée
211|0|0|Il a ça proposer des lois pour l inflation, pour réformer la justice, pour combattre le travail dissimulé. pour combattre le trafic de de drogue cette homme est une vrai girouette en coup avec Sarkozy, un coup avec Hollande et enfin avec Macron mais aucun lui propose un poste intéressant donc il doit pas être aussi compétent qui le pense.
212|2|6| merci, vous me rappellez de délicieux dialogues d'Audiard. Mais est-ce bien Linkedin ?
213|2|0|C'est un chiffre sorti d'études scientifiques. Et pour l'ensemble des sources : 
214|1|0| j'adore la source scientifique "bonpote.com". C'est forcément fiable. Merci d'avoir indiqué vos sources. 
215|2|0|A propos, le fondateur de , revue scientifique de référence,  s'appelle Wagner, Thomas Wagner. Vous connaissez la musique : on n'est jamais mieux servi que par soi-même. 
216|2|0| " Et pour l'ensemble des sources" -> le lien.Si vous ne savez pas lire et que vous êtes de mauvaise foi, on ne pourra rien y faire. Mais merci pour votre commentaire, il sera mis à l'affiche très bientôt.
217|1|0| Toute votre démonstration tiens sur la limite à 2t /an... Peut on envisager que ce chiffre est juste hors d'atteinte  sauf effectivement à changer complètement de mode de vie pour une vie qui n'a plus aucun sens. Que le calcul des 2t soit bon ou faux, importe peu si une majorité de gens ne se sent ni concerné ni n'accepte le mode de vie qui en découle. On dit que l'impôt tue l'impôt...  C'est la même chose.Personnellement je pense que l'approche est mauvaise. Il vaudrait mieux acter des niveaux de réductions réalistes et développer des 'contengencie plans' prenant en compte des augmentations de températures plus élevées. 
218|0|0| merci, vous me rappellez de délicieux dialogues d'Audiard. Mais est-ce bien Linkedin ?
219|0|0|Les Khmers verts est un concept qui ne veut rien rire. Les khmers son 90% de la popultion du Camdodge. Khmer vert c'est comme dire "français verts". Ça n'a pas de sems 
220|1|0|Leur attribuer un quota de nombre d’heure de vol serait un début, car l’interdiction ça marchera pas! N’oubliez pas qui est le président de la France tout de même ..il prend soin de ses potes.
221|2|0|Il y a surtout un soucis d'exemplarité à avoir. Les efforts à faire sont conséquents et contraignants pour tous (chacun a sa hauteur). Donc, tant que l'on autorise une petite minorité à avoir ce type de comportement, il est impossible pas à une grande majorité d'accepter la moindre contrainte. Au-delà du gain absolu en Co2, c'est l'acceptabilité globale de tous à nous restreindre qui sera le principal bénéfice.
222|0|0|Excellente la blague.. Ceux qui utilisent les jets privés sont hors sol.. 🤣
223|9|0|Vous pourriez tout de suite arrêter ce type de post: ça ferait économiser du CO informatique et ça permettrait aux autres de travailler. Ceux qui font tourner l’économie et vivre ces pays commencent à en voir un assez de tous les soi-disant experts et autres « responsables » aux fonctions imprécises mais bien donneurs de leçons qui mangent sur leur dos leur taper dessus. Quand vous aurez créé richesses et emplois pour permettre à la population de vivre ailleurs que dans des huttes et manger des racines vous pourrez expliquer quelles sont les meilleures manières de faire, en attendant continuez à réfléchir en essayant de ne pas nous coûter trop chers…Et essayez de faire porter le fardeau équitablement au niveau international car tout ce que vous proposez ressemble à du sabordage…
224|0|0|Je pense qu'il ne faut pas l'interdire, mais taxer les vols avec une taxe à 2000% par ex. 
225|0|0|4 milliards en 1950, 8 milliards le 15 novembre prochain 🤔.10,4 milliards en 2050!!!
226|0|0|Outre le fait que je sois d'accord sur l'idée Julien Bayou, je m'interroge surtout sur ces petits bouts de  chandelles que nous tentons de réduire alors que le plus gros me semble ailleurs. Nous tirons sur les personnes individuellement mais pas sur les entreprises ou collectivités qui consomment bien plus. Du coup, toutes ces petites actions, aussi bonnes soient elles me donnent l'impression de pisser dans un violon...
227|29|12| les émissions CO2 non mais les flux d'énergie certainement !
228|20|0|Souvent les chiffres parlent mieux, effectivement : 
229|4|0|1/ question de résilience territoriale: il y aura de moins en moins de matière première disponible (non renouvelable: énergie et hors énergie mais aussi les matières premières non renouvelables qui se renouvellent trop lentement par rapport à la vitesse de prédation). S'y préparer permettra d'amortir le choc.Regardez ce qu'il s'est passé avec le Covid: on a dû bricoler rapidement des pistes cyclables afin de pouvoir se déplacer sans prendre les transports publics. nous avons une responsabilité historique puisque nous émettons depuis la révolution industrielle. ce n'est pas le cas de l'Inde, de la Chine etc. ET que cette révolution est née en France et au Royaume-Uni avec l'avènemenent du Charbon3/ montrer l'exemple: Comment voulez-vous être écouté si nous ne montrons pas l'exemple?4/ montrer qu’un autre modèle socio-économique, délimité au sein des 9 limites planétaires, est possible. La population chinoise, indienne, pakistanaise souffre déjà de pollution (sans parler du réchauffement climatique), de dégradation des sols, de destruction de la biodiversité.
230|3|0|C'est exactement ça. Sans compter le problème numéro 1 de l'écologie : la natalité. Avec 8 milliards d'êtres humains les pays à forte natalité vont davantage détruire la planète que quelques trajets aériens  payés par des hommes d'affaires sur leurs propres fonds. Le Nigeria aura 400 millions d'habitants en 2050 si personne ne réagit. Il en avait 45 millions en 1960.
231|0|0|Ok. Mais dans tous les cas si décisions il peut y avoir ou même inflexion d’une tendance ça ne peut se passer quoiqu’il en soit uniquement dans une des puissances mondiales. Les décisions prises ici ou en concert avec les pays avec lesquels nous collaborons s’imposent au monde. Donc commençons par ici et maintenont la pression.
232|0|0| Enfin quelqu’un qui soulève le vrai problème: la démographie !
233|0|0| et vous comptez le régler comment ?
234|0|0| la solution consiste donc à ne rien faire et d'aller fièrement mettre la pression sur ces grandes nations en leur expliquant que l'on a même pas réussi à réduire les émissions d'un pays de 70 millions d'habitants NB: la France est intégrée politiquement à l'union européenne depuis près de 30 ans. L'UE représente 10% de l'empreinte carbone mondiale et est accessoirement aussi la 2eme puissance économique. D'ailleurs la proposition de Clément Beaune va être portée directement au niveau européen 
235|0|0|Emissions CO2 cumulativeUSA+EU = 47%Chine+Inde 16%
236|0|0| d’où viennent ces chiffres ?Russie,Ukraine et Turquie intégrée dans ´EU ?J’en ai d’autres de 2017 donc il faudrait s’entendre sur des bases communes, avec des calculs  communs, non ?!
237|1|0| Ce sont des chiffres cumulés depuis 1751 jusqu’à 2017 … il est vrai qu’en l’an 1751 tout le monde calculait déjà les émissions de CO2 , mais je reste sceptique concernant la période 1751 - 1970
238|0|0| la source est sur l'image jointe. OurWorldindata.org
239|0|0| les émissions CO2 non mais les flux d'énergie certainement !
240|1|0|Le souci derriere cette mesure, c'est toujours ce même problème franco français qui consiste à montrer du doigt les "riches" qu'il faut nécessairement rendre responsables de tous les  ne dis pas que les jets privés ne polluent pas, mais peut être vaudrait-il mieux pousser l'industrie (très souvent Française en l'occurence), à produire des jets moins polluants (ce à quoi elle travaille déjà), plutôt que de jouer sur cette vieille corde de la jalousie et de la rancoeur vis a de ceux qui réussissent.  Ce qui est inquiétant, c'est cette soudaine tyrannie du doigt pointé, du méchant que l'on montre et qui est nécessairement responsable.Les tyrannies en l'occurence, se sont toujours bâties au nom de "justes causes" qu'elles utilisent comme paravent pour détruire les libertés. Je pense pour ma part que réduire l'utilisation des téléphones portables, notamment sur les applications inutiles (Par exemple Instagram) et, accessoirement abrutissantes, aurait autant de sens en matière d'economies d'énergie que l'encadrement des vols en jet privé. Evidemment, on se rend moins populaire en suggérant cela qu'en tapant sur les jets privés. Pourtant, la seconde mesure générerait bien plus d'économies que la premiere...
241|2|2|C'est sûr que c'est beaucoup plus demago que la loi sur le séparatisme :p
242|1|0|Citez moi une proposition de loi non démagogique depuis 10 ans.
243|0|0|C'est sûr que c'est beaucoup plus demago que la loi sur le séparatisme :p
244|6|0|Pour répondre à l’émission de carbone, Julien Bayou devrait indiquer vouloir interdire les jets privés thermiques ou générant du carbone. Et là, cela devient intéressant : on change de paradigme, on pousse à l’innovation, on s’oriente vers un monde différent. Pour autant, plaira-t-il à Julien Bayou qu’un  milliardaire vole toujours en jet privé même decarboné ? Étrangement, j’en doute … Et pourtant, je suis un optimiste forcené !
245|0|0|Et on aimerait éviter aux enfants de vivre un enfer quand ils seront âgés
246|0|0|Le problème climatique est d'ordre mondial,  ça sert à rien si un pays ou un continent prend des mesures drastiques en vers son peuples alors qu'à  l'autre bout d'un autre continent ou d'un autre pays rien n'est fait . Y'a des problèmes qui dans quelque mois seront plus dévastateurs pour les entreprises et pour les populations européens (le gaz russe ) pour conclure j'espère que les députés n'utilisent que moyens préhistorique tant chez eux ( domicile fixe ) qu'en se rendant au travail. Je ne maitrises pas les spécificités de l'empreinte carbon mais je sais que le projet de loi du député est dépourvu de rationalité. 
247|0|1|sans oublier l'accès possible à de petits aéroports, permettant d'enchaîner plusieurs sites dans une même journée, etc.
248|0|0|sans oublier l'accès possible à de petits aéroports, permettant d'enchaîner plusieurs sites dans une même journée, etc.
249|0|0|ceux qui ont appris à faire des additions et des soustractions voient que les jets privés représentent en france, moins de 1 milliardième des émissions de CO2 dans le monde ... alors que le charbon, c'est au moins 1/4 ... traitons cela d'abord avant de partir en conjecture sur ce qui est juste ou non ...
250|1|0|En fait quand vous annoncez la couleur en disant qu’il nous est interdit de dire ça ou ça, ça donne pas vraiment envie… Moi j’ai envie de dire : à quand les toilettes sèches obligatoires pour tout le monde pour éviter de gâcher de l’eau potable dans les chiottes ? (pour ma part, eau de pluie). Pour moi ce point est bien plus problématique que des pinuts de bout de CO2 de jet pour « peu de personnes » dans le monde hein !
251|0|0|- Les jets privés emettent beaucoup trop de Co2 vs le nombre de personnes transportées ✅- Nous devons faire quelque chose pour réduire ces emissions ✅- Bernard et autres milliardaires ont tous des jets privés qu’ils utilisent beaucoup ✅Cqfd : comment Bernard et ses copains peuvent pallier cette potentielle interdicition des jets privés ?Vous avez 2 heures.Merci
252|0|0|Bravo à  pour cette initiative !
253|0|0|Il faudrait interdire les jets privés en France... Et mettre des TGV partout... Submerger la France de rails dégueulasses. Ça satisfairait ce Bayrou et l'orgueil et le nombrilisme de tous les français qui croient encore que la France est le centre du monde. Et on irait prendre l'avion ailleurs...
254|1|0|L'argument régulier ''J'ai des fonctions importantes, des responsabilités importantes et je ne peux pas me permettre de perdre du temps'' n'est plus entendable quand il s'agit d'une exigence planétaire. Et ce qui est vrai pour les jets l'est aussi pour les hélicoptères privés. 
255|0|0| for such fly you need 2300 trees to compensate...so the solution is * paying for planting about 30000 trees 🌳  in advance...each quarter
256|0|0|Sans compter les trafics en tout genre qui passe entre les mailles du filet de la justice....mais chuttttt ! Ce sont des trafics de "haute voltige" !
257|1|0|Que ces abrutis de politiciens produisent déjà quelque chose et enfin que la transparence totale et réelle soit publiée sur leurs émoluments et avantages . Que cesse les carrières complètes à nos frais car comme ils l’expliquent si bien sûr les plateaux TV pour que l’on sorte  la tête de l’eau il faut produire !!!!! Ce n’est pas le cas de ces gens là.
258|0|0|Idem pour les "sports" mecaniques et les loisirs à base de moteurs : bateau, jet sky,..
259|0|0|Le problème est que cette mesure est démagogique (Bayou veut évidemment faire plaisir à son électorat anti-riches) et aurait peu d'effet réel car même si les ultra-riches polluent plus, ils sont peu nombreux : une telle mesure pourrait aider à faire passer la pilule dans le cas d'une grosse taxation sur tous les voyages aériens par exemple (que les gens aient le sentiment que les riches ne seront pas épargnés). Mais ce n'est pas le cas, peut-être parce que l'électorat de Bayou n'a pas de jet mais aime prendre l'avion ?
260|0|0|Bonjour,Vous ne pensez pas avant de discuter des jets privés qui il y'a d autres priorités ? Les camions sur les wagons ,les usines à  modernisées, le bétonnage à outrance et arrêter l'abattage des forêts de l'Amazonie... Bref beaucoup d'énergie pour pas grand-chose NON ? Il va falloir passer à la vitesse supérieure.Soyez forts dans vos priorités!!!
261|1|0|Pas très clair : interdire c'est bien, mais dans le monde réel c'est n'importe kaoua mais c'est ce qu'il faut faire. Mr Wagner,il faut savoir... Ceci dit, il faut ne pas rêver : si l'interdiction n'est pas mondiale, elle ne sert à rien et Mr Bayou peut retourner dans son... bayou hahaha! Mai 68 : il est interdit d'interdire 😉 Aulieu d'interdire, finançons la recherche pour que les moteurs d'avions fonctionnent à l'hydrogène et produisent de l'eau. C'est plus efficace et au bout du compte nettement plus réaliste. A bon entendeur, salut !
262|0|0|On pourrait également interdire les avions avec bandeau publicitaire sur la côte méditerranéenne. C'est un vrai scandale...pour faire de la publicité pour les grandes surfaces, franchement ça fait même hurler mes enfants de voir ça, de nous coller de la publicité quand on est à la plage et de gaspiller de l'énergie pour ça... Il y a pas très longtemps j'ai même vu une pub pour la feria de Béziers, bravo à la municipalité pour son engagement climatique !! On continue de creuser...
263|0|0|interdire sur destinations desservies par vols commercial - fortement taxés quand il n'y a pas d'équivalents.(en début de carrière, on prenait pour raison professionnels des Lyon-Caen en avion 12 places (il n'y avait pas encore de visio) - depuis qu'il y a un vol commercial, c'est devenu la solution pour ceux qui ont encore besoin d'y aller - certains prennent le train avec changement de gare à Paris ....) Cela fait plusieurs années que je n'ai pas eu besoin de faire le déplacement  😊
264|3|0|Envoyer des mails,  c’est être un pollueur mais c’est mieux que prendre son jet, son avion, sa voiture Faire des visioconférences, c’est être un pollueur mais c’est mieux que prendre son jet, son avion, sa voiture Utiliser la signature électronique, c’est être un pollueur mais c’est mieux que prendre son jet, son avion, sa voiture Utiliser la Blockchain, c’est être un pollueur mais c’est mieux que prendre son jet, son avion, sa voiture Utiliser le Metavers de travail, c’est être un pollueur mais c’est mieux que prendre son jet, son avion, sa voiture Commander en ligne, c’est être un pollueur mais c’est mieux que prendre son jet, son avion, sa voiture Comme le mentionne très justement JM JANCOVICI, il faudrait un confinement par an pour limiter drastiquement l’impact de nos activités professionnelles sur l’environnement.
265|12|5| D'un point de vue chimique, chaque tonne de carburant brulée génère 3.16T de CO2.
266|1|0| bonkoir. Je me demande en quoi l’aviation a bien travaillé pour réduire son impact ? Hormi les campagnes de greenwashing et les promesses à 30 ans, qu’elles sont les actions mesurables concrètes mises en place ?
267|2|0|Sébastien Fillol oubliez vous les 30% de réduction de consommation sur la dernière génération d’avion ? Des nombreuses procédures soumises aux pilotes pour limiter la consommation et donc l’impact carbone, alors oui je vous l’accorde au début c’était pour sauver des litres de fuel et donc payer moins cher mais on ne peut pas aussi exclure que cela a eu un effet sur l’impact climatique non ? Après pour l’aviation d’affaire, on a eu les mêmes progrès croyez le…! En aviation d’affaire on pourrait limiter les vols à vide de certains avions et ils existent malheureusement et ce serait une vraie performance.Par exemple en obligeant certains Aéroports à garder les avions en parking plutôt que de leur dire pas de parking et donc allez voir ailleurs d’où des vols à vide..ca je suis d’accord clairement avec vous ! Du gâchis
268|2|0|33tonnes de CO2 en un vol, soit l’équivalent de la masse de l’avion! Je pige pas trop le calcul!!
269|0|0|Juste
270|0|0| D'un point de vue chimique, chaque tonne de carburant brulée génère 3.16T de CO2.
271|3|0|C’est navrant de voir tous ces commentaires de gens qui parlent de liberté et qui n’en connaissent pas même la définition. Déclaration des droits de l’Homme et du Citoyen 1789« Article 4La liberté consiste à pouvoir faire tout ce qui ne nuit pas à autrui : ainsi, l'exercice des droits naturels de chaque homme n'a de bornes que celles qui assurent aux autres membres de la société la jouissance de ces mêmes droits. Ces bornes ne peuvent être déterminées que par la loi. »
272|1|0|Interdire tout ce qui nuit à l intérêt général me semble être un principe de bon sens, sans me sentir être un ayatollah ni un khmer, vert ou autre couleur. 
273|0|0|Je ne vais donner que mon humble avis ne concernant que moi.Je ne suis pas favorable aux interdictions purs et dures. Vous voulez limiter la pollution de ces avions? Mettez y des normes particulières élevées en terme de  lutte en antipollution sur les avions de moins de 200 places. Soit le surcout est supportable et on gagne contre la pollution soit le surcout est trop élevé et plus personne ne sert d'avion privé.Rajoutez une taxe hyper élevé pour chaque place vide dans un avion qui vole et vous obtiendrez des vols pleins avec une uniquement des gros porteurs.Et le plus beau? On n'aura rien interdit.
274|0|0|
275|2|3|Je rejoins ce point de vueLaissons les gens, riches ou pas, libres de choisir  mais avec des alternatives equitables.Soit on est planeto ecolo conscient, ce que je deviens de plus en plus perso, et alors on cherche a reduire ses deplacements ou a minima sa conso CO2Soit on voyage tout de meme mais au vrai prix qui incluerait une compensation carbone et/ou des financements d'isolation de batiments, de l'efficacite energetique, de l'apprentissage et de la formation pour les 7 a 77 ans ...Mais attention soyons lucides dans bien des cas et a tous les niveaux cela veut dire bye bye aux vacances un tant soit peu lointaines car le cout ''reel'' du billet d'avion de ligne devra lui aussi etre calcule de cette facon. Et d'imaginer un zero de plus sur le prix de n'importe quel billet...Tout comme les prix du train, du bateau, des vehicules via les taxes essences, peages et peut etre en poussant le bouchon les transports publics si on est honnete.Ca risque de changer bien des choses dans l'industrie du tourisme par exemple qui fait vivre enormement de monde et permet entre autres choses a des pays dits pauvres de l'etre un peu moins.Il faut un traitement global efficient et juste pour tout le monde riche ou pauvre. Et ca ...
276|1|0| 8 années de vie au smic à faire payer donc 145 000€ le vol.Ils ne doivent pas en être loin non?En vrai, ils s'en foutent de payer un peu plus, ils ont des centaines de milliards.Je ne suis pas trop calé jet privé, en revanche c'est 8€ la paire de frein pour le vélo, 25€ le pneu, 13€ la chaîne, et de l'huile de coude avec son fils qui bricole également à côté 😅
277|0|0| alors déjà je suis très loin du SMIC, donc non.Il faut, à mon sens,  compter en équivalent de ce simple vol les contre-mesures naturelles permettant de séquestrer.Par exemple: créer une forêt "Pinault août 2022" séquestrant sur le long terme les 33T et faisant revenir la vie sauvage sur la parcelle considérée, qui serait donc sanctuarisée.Si on compte la terre, les compétences et la main d'oeuvre pour garantir la séquestration et l'épanouissement de la vie, on parle déjà de millions d'euros.Quelque soit le prix, après une trentaine de vols, je suis à peu près sûr qu'on ne trouvera plus trop l'espace nécessaire à la création de nouvelles parcelles...
278|1|0|Je rejoins ce point de vueLaissons les gens, riches ou pas, libres de choisir  mais avec des alternatives equitables.Soit on est planeto ecolo conscient, ce que je deviens de plus en plus perso, et alors on cherche a reduire ses deplacements ou a minima sa conso CO2Soit on voyage tout de meme mais au vrai prix qui incluerait une compensation carbone et/ou des financements d'isolation de batiments, de l'efficacite energetique, de l'apprentissage et de la formation pour les 7 a 77 ans ...Mais attention soyons lucides dans bien des cas et a tous les niveaux cela veut dire bye bye aux vacances un tant soit peu lointaines car le cout ''reel'' du billet d'avion de ligne devra lui aussi etre calcule de cette facon. Et d'imaginer un zero de plus sur le prix de n'importe quel billet...Tout comme les prix du train, du bateau, des vehicules via les taxes essences, peages et peut etre en poussant le bouchon les transports publics si on est honnete.Ca risque de changer bien des choses dans l'industrie du tourisme par exemple qui fait vivre enormement de monde et permet entre autres choses a des pays dits pauvres de l'etre un peu moins.Il faut un traitement global efficient et juste pour tout le monde riche ou pauvre. Et ca ...
279|0|0|Sans dire si bien ou pas, l'avion est responsable de 2% des émission. L'industrie du textile 20% 
280|0|0|L'alternative est simple: - Interdictions spécifiques par des bureaucrates qui décident en haut (avec les lobbies) où tracer les lignes (jets privés, SUV, grosses cylindrées, motos, ...)- Règles communes qui assurent transparence et démocratie
281|0|0|Quelle réussite, quelles sont les activités pilotées par les  de ces Big machin chose qui soient bénéfiques pour la collectivité du vivant?Je serai curieuse de les connaître et SVP, que l'on ne me réponde pas que c'est la lutte contre le chômage, je suis persuadée que sans les entraves que ces grosses structures imposent dans le monde, nous pourrions créer des jobs qui ont du sens et protègent notre écosystème.Je pense qu'il serait bon de réfléchir également au revenu minimum universel afin de permettre aux Hommes de s'engager dans des activités créatrices au sein d'associations dont les objectifs ne seraient pas que le profit.Bref, les jets privés ne sont que la face immergée de l'iceberg, non?
282|0|0|Le changement climatique est un programme inculqué a la masse,  un fake... Cherchez des vraies donnes,  ne vous guidez pas par des effets d'annonces de soit disant pseudo scientifiques payes par les lobby intéressées a vous manipuler...
283|1|0|Si l'idée est pertinente, il faudrait surtout mettre en place une loi qui s'appuie sur des données d'émission par kilometre et passager (comme vous le faites  ) et non d'un type de véhicule pour faire un effet d'annonce ("arretons les jets privés et les jet-skis!") :  une loi qui limiterait les transports en fonction de la quantité de CO2 par passager limiterait aussi les vols à vide (tels que ceux pour conserver les créneaux dans les aéroports), les navires de croisière vide (est ce qu'il y en a ?)...)
284|2|0|100% pour évidemment !
285|65|64|Elle vient du fait que la clientèle haut de gamme a quitté le navire de la classe affaires des grandes compagnies classiques et n’arpente plus les couloirs des aéroports désertant les boutiques de luxe. Ils veulent récupérer leur manque à gagner.
286|81|0|Haine du petit jet privé...Pourriez-vous répondre à cette question : est-ce compatible avec l'Accord de Paris, oui/non , svp ?
287|6|0| bonne lecture pour greenheadwashers :
288|8|0| mais le problème c’est qu’il n’y a rien dans nos vie confortables d’européens qui soit compatible avec les accords de Paris. 2 tonnes c’est impossible à atteindre, on est d’accord? Et même moins de 10 tonnes c’est très compliqué si l’on tient compte de nos épargnes et de notre système de santé. Dire que de prendre un vol moyen courrier n’est plus possible et par exemple aller se faire soigner les dents n’est pas compatible à mon avis. C’est un exemple mais voilà la prix d’une couronne par exemple se traduit en émission de co2. Et 2000 euros c’est pas loin d’une tonne par exemple. Dans la même idée, réfléchissez à l’impact réel d’une dépense de 300 euros de train, on est pas sur les 3/4 kg que l’on trouve avec les calculateurs. Ces 300 euros servent l’économie qui est carbonée qu’on le veuille ou non et on sera plus proche de 150 kk de co2. Et si on en revient au jet privé, c’est malheureusement une infime partie des émissions des milliardaires. Leurs dividendes, leurs placements ont un impact bien plus important. Je vous rejoins sur la justice sociale, et le fonctionnement d’un capitalisme néolibéral qui veut 10 ou 15 % de croissance par an : ça ce n’est vraiment pas compatible avec l’adaptation à réaliser
289|14|0| vous ne prenez pas souvent le TGV cela se voit. Et même si certaines rames seraient insalubres, vous préféreriez le confort à la vie?
290|7|0|Il est important de se rappeler ce que veulent dire les mots à l’heure où sur les réseaux sociaux, et ailleurs, on les utilises à tort et à travers.Parler d’insalubrité des rames de TGV est excessif si on compare à la définition que pourrait donner par ex la fondation Emmaus de ce qu’est un habitat insalubre. Le problème des rames c’est les voyageurs ! On a la même chose en pire dans les avions. Avez-vous déjà remonté tout un avion après l’atterrissage ? Ça m’est arrivé et c’est effrayant !Les rames des TGV sont régulièrement nettoyées mais il est vrai qu’en deux nettoyages, après un très long trajet c’est un peu la catastrophe. Le plus inquiétant c’est plutôt le sous investissement sur la rénovation et l’entretien des voies. Car si chacun fait un effort on peut améliorer la propreté des rames mais on ne pourra pas remplacer les voies par contre.
291|3|0|Bravo pour votre post humoristique !
292|3|0| Je rappelle que la fortune n'est pas contagieuse. Veuillez vous référer au hashtag#ruissellement et attendre patiemment votre tour.CC Michael AGUILAR, CSP
293|9|0| 
294|2|0| vous, vous n'avez pas peur des amalgames improbables au moins. Vrai qu'il est assez probable que le jet de M. Arnaud soit nickel côté sanitaire. Et c'est ce qui lui donnerait le droit de polluer beaucoup beaucoup plus que n'importe quel individu lambda ?
295|2|0| monsieur Arnaud (qui n'est pas un enfant de cœur pour autant) a le droit de se déplacer en jet privé puisqu'il en a un et que forcément en tant que méga-fortune planétaire il peut se permettre d'utiliser des outils plus polluant que le fonctionnaire RATP. Il faut arrêter d'inventer de "mauvais exemples" ou de chasser les "mauvaises sorcières" pour exciter les foules populistes tout en les détournant des vrais enjeux de la dépollution de l'atmosphère qui doivent être prioritaires : industriels pseudo-contrôlés, vitesses maximales sur autoroutes, trafic poids lourds, etc. Monsieur Arnaud arrive en tout bout de chaîne alors laissez ce pauvre homme tranquille ou embêtez-le sur de vrais sujets (contrôle de la presse française...) pas sur celui de la pollution de ses jets...
296|0|0| tout dépend de son bilan global!!!!
297|17|0| il a un jet privé alors il a le droit de l'utiliser ? Heureusement qu'il n'a pas de bombardier alors ! Vos commentaires sont absolument affligeants. Dans un effort global de réduire les émissions de GES il paraît évident de cibler en premier lieu ce qui en émet le plus, pour le moins de bénéfices. Transporter un multimilliardaire passe probablement au dernier rang des priorités de l'humanité.
298|1|0| pourquoi cette haine du multimilliardaire ?? Attaquez-vous à ses passe-droits pas à ses avantages matériels qui ne peuvent être ceux du commun des mortels, il faut être réaliste. Ce que je dis c'est que la priorité des écologistes devrait être de s'attaquer aux vraies sources du mal plutôt qu'à ses vapeurs insignifiantes : lobbies industriels... mais bien sûr les écologistes ont peur des vrais coupables ou alors... ils se laissent financer par eux ! (Cf. les relations entre verts allemands et Russes...). Je préfère pour ma part soutenir un combat écologiste qui fera une guerre sans merci aux poids lourds qui ont envahit jusqu'à la moindre petite route plutôt que des grimaces démagogiques de ceux qui osent accuser les jets de millionnaires d'être à l'origine du réchauffement climatique. Parler des jets est une caricature... regardez la méga-pollution des activités minières dans le monde, vous y pensez? celle des méga activités industrielles en Afrique, en Asie, vous y pensez?? Non. Mais bientôt les tondeuses à gazon de Montfort-l'Amaury vont aussi être sur la pile des dossiers écolo-bobos parisiens ou leurs émules... 
299|2|0| la fortune et son hyper-concentration n'ont rien à voir avec les combats à mener contre les pollutions... pourquoi tout mélanger ??
300|1|0|Tout effort est à apprécier. Souhaitons que chacun saura être responsable et contribuera à limiter son impact sur l environnement. Nous pourrions donner nos avis justifiés ou non. AUJOURD HUI il es temps d agir...
301|7|0| le ''laissez ce pauvre homme'', j'hésite entre me marrer comme une baleine,  tomber dans une sidération abyssale ou une profonde compassion pour une si douloureuse perte de conscience
302|5|0| vous etes décidément très mal informé ou alors un peu faignant  vous toujours que la fortune n’a rien à voir avec le combat contre la pollution?
303|1|0| J'ai une question naïve et probablement stupide, mais allons-y. Si la France ne rejette plus un seul gramme de CO2 à partir de demain matin, ça change quoi pour la planète si des super-puissances comme les USA, la Chine, l'Inde, le Brésil ne font rien ? C'est une question vraiment sincère et de bonne foi. Et quitte à prolonger la politique-fiction, je crois qu'une sortie de l'UE + une relocalisation massive serait + efficace/rapide/facile pour donner un coup d'arrêt à nos émissions que partir à la chasse aux lobbies.
304|0|0| prouvez nous que els éoliennes sont compatibles elles aussi ,
